video_id,title,description,published_at,tags,duration_sec,is_short,view_count,like_count,comment_count,thumbnail_url,video_url
l5Mouc1Re8M,¿Cómo resetear tu gráfica?,"¿Cómo resetear tu gráfica?

Te traemos este truco para resetear los drivers de la gráfica y poder volver a la partida tal como estabas.

Es sencillo: pulsa Ctrl+Windows+Shift+B y lo tienes.",2026-05-21 18:56:39+00:00,,29,True,6371,355,7,https://i.ytimg.com/vi/l5Mouc1Re8M/maxresdefault.jpg,https://www.youtube.com/watch?v=l5Mouc1Re8M
RRhYW45gJNM,"No es un mueble, son las nuevas cajas de ordenador en tendencia.","No es un mueble, son las nuevas cajas de ordenador en tendencia.

¿Cansado de cajas acristaladas con RGB? Si te gusta algo más sobrio y en tendencia, échale un ojo a todas estas, porque con ellas no fallas.

¿Tienes pensado cambiar de caja pronto? ¿Te pondrías una de estas?

Te leemos.",2026-05-19 18:46:15+00:00,,60,True,8840,487,8,https://i.ytimg.com/vi/RRhYW45gJNM/maxresdefault.jpg,https://www.youtube.com/watch?v=RRhYW45gJNM
2s8KgYcDwG8,No sabemos qué hacer con el canal...,"Las mejores ofertas: https://epical-q.com/

¿Y si esta vez el vídeo lo decidieras tú?
En el sector del gaming y la informática está todo más visto que el TBO: mismas reviews, mismas promos, mismos vídeos clónicos y el mismo contenido reciclado de siempre.

Así que hemos parado un momento, nos hemos sentado a pensar y hemos llegado a una conclusión bastante simple:
si vosotros sois los que veis el canal, también deberíais decidir qué queréis ver en él.

En este vídeo te contamos varias ideas loca",2026-05-17 18:49:55+00:00,,1877,False,10627,1184,274,https://i.ytimg.com/vi/2s8KgYcDwG8/maxresdefault.jpg,https://www.youtube.com/watch?v=2s8KgYcDwG8
ZPPW5De2PAM,Puedes encender tu PC con el móvil y no lo sabías,Puedes encender tu PC con el móvil y no lo sabías,2026-05-12 19:01:09+00:00,,46,True,22436,1133,61,https://i.ytimg.com/vi/ZPPW5De2PAM/maxresdefault.jpg,https://www.youtube.com/watch?v=ZPPW5De2PAM
rF8jxRiNqr8,Tierlist Cajas de PC - Mejores Gabinetes para Ordenador Gaming 2026,"Las mejores ofertas: https://epical-q.com/

Las cajas de PC son muchísimo más importantes de lo que parece.
Y sí: una mala caja puede convertir un PC de alta gama en una auténtica estufa con thermal throttling, ruido, mal flujo de aire y componentes trabajando peor de lo que deberían.

En este vídeo nos metemos de lleno en un tier list de cajas de PC con un montón de modelos que he montado, probado o tenido delante: cajas baratas, peceras, doble cámara, triple cámara, cajas premium, cajas microA",2026-05-10 20:36:17+00:00,,3456,False,14686,844,167,https://i.ytimg.com/vi/rF8jxRiNqr8/maxresdefault.jpg,https://www.youtube.com/watch?v=rF8jxRiNqr8
HTdl67eUwUA,¿Qué cosas hacen que tu PC pierda la garantía?,"¿Qué cosas hacen que tu PC pierda la garantía?

No hagas estas cosas que te vigilamos...",2026-05-05 18:44:29+00:00,,60,True,58063,2571,51,https://i.ytimg.com/vi/HTdl67eUwUA/maxresdefault.jpg,https://www.youtube.com/watch?v=HTdl67eUwUA
U9Q1iXFlLZs,¿Qué PCs gaming usan en Epical-Q?,"¿Qué PCs gaming usan en Epical-Q?

Y sobre todo a que juegan nuestros máquinas con esas bestias.",2026-05-03 18:39:02+00:00,,60,True,340730,12662,403,https://i.ytimg.com/vi/U9Q1iXFlLZs/maxresdefault.jpg,https://www.youtube.com/watch?v=U9Q1iXFlLZs
OYoFSe56Oic,El Día a Día en una Fábrica de PCs Gaming en España,"Si te gusta la informática y quieres saber cuál es el recorrido que hacen un montón de componentes hasta que acaban en un ordenador, te vamos a explicar desde dentro la historia de Epical-Q. 
Te mostramos cada departamento y te explicamos los entresijos de la empresa que está conquistando tu corazón.

Y si quieres una buena silla Usa el código y disfruta de un 5% de descuento exclusivo
E3PRO:
Enlace del producto a la web oficial: https://bit.ly/3PTp525
 code: E3WPEPIC
Enlace del producto de Amaz",2026-05-03 17:45:00+00:00,"informatica, hardware, tutoriales, ram, gaming pc build",734,False,28024,1790,121,https://i.ytimg.com/vi/OYoFSe56Oic/maxresdefault.jpg,https://www.youtube.com/watch?v=OYoFSe56Oic
hC4EG6ovF2I,Gráficas de Pc Gaming en Bulk,"Gráficas de Pc Gaming en Bulk

¿Cuánto crees que vale una caja de estas?

A ver si alguien acierta en los comentarios",2026-04-28 18:28:43+00:00,,52,True,202761,10514,184,https://i.ytimg.com/vi/hC4EG6ovF2I/maxresdefault.jpg,https://www.youtube.com/watch?v=hC4EG6ovF2I
8-WWEAPwQyM,PC Roto por el POLVO,"PC Roto por el POLVO

¿Qué piensas tú? Tiene garantía este PC o mejor no

El polvo acumulado durante años puede hacer que tu ordenador deje de funcionar como ha ocurrido con este.

Te recomendamos que de vez en cuando le hagas una limpieza para no llegar a este extremo.",2026-04-26 18:26:10+00:00,,66,False,15871,924,27,https://i.ytimg.com/vi/8-WWEAPwQyM/maxresdefault.jpg,https://www.youtube.com/watch?v=8-WWEAPwQyM
